DEPENDENCIA;CODIGO ESTADISTICO;NOMBRE DEL PLANTEL;PROBLEMA
ESTADAL;OD14531420;ESCUELA ESTADAL EL CORRAL;Ningún trabajador tiene datos de cuadratura.
ESTADAL;OD09541420;ESCUELA ESTADAL EL REMOLINO;Ningún trabajador tiene datos de cuadratura.
ESTADAL;OD09531420;ESCUELA ESTADAL EL RINCON;Ningún trabajador tiene datos de cuadratura.
ESTADAL;OD09571420;ESCUELA ESTADAL EL VERDE;Ningún trabajador tiene datos de cuadratura.
ESTADAL;OD01321420;ESCUELA ESTADAL HORCAZ;Ningún trabajador tiene datos de cuadratura.
ESTADAL;OD02271418;ESCUELA ESTADAL JOSE GREGORIO RAMIREZ;Ningún trabajador tiene datos de cuadratura.
ESTADAL;OD04981420;ESCUELA ESTADAL LA JOYA;Ningún trabajador tiene datos de cuadratura.
ESTADAL;OD04931420;ESCUELA ESTADAL LA OVEJERA;Solo dejaron observaciones o ceros.
ESTADAL;OD14701420;ESCUELA ESTADAL LA VEGA;Solo dejaron observaciones o ceros.
ESTADAL;OD04231407;ESCUELA ESTADAL LAS MALVINAS;Ningún trabajador tiene datos de cuadratura.
ESTADAL;OD03571407;ESCUELA ESTADAL MESA JULIA MEDIO;Ningún trabajador tiene datos de cuadratura.
ESTADAL;OD04991420;ESCUELA ESTADAL MUCUSUS;Solo dejaron observaciones o ceros.
ESTADAL;OD05391416;ESCUELA ESTADAL MUPATE NER 027;Ningún trabajador tiene datos de cuadratura.
ESTADAL;OD14551420;ESCUELA ESTADAL PUEBLO VIEJO;Solo dejaron observaciones o ceros.
ESTADAL;OD03561407;ESCUELA ESTADAL RIO BONITO BAJO;Ningún trabajador tiene datos de cuadratura.
ESTADAL;OD04951420;ESCUELA ESTADAL TUCO;Solo dejaron observaciones o ceros.
ESTADAL;OD02251409;ESCUELA FELICITO MONTOYA SERRANO;Ningún trabajador tiene datos de cuadratura.
ESTADAL;OD05601402;ESCUELA FLORENCIO MARQUEZ;Ningún trabajador tiene datos de cuadratura.
ESTADAL;OD10701403;ESCUELA FRANCISCO LAZO MARTI;Ningún trabajador tiene datos de cuadratura.
ESTADAL;OD05401416;ESCUELA GILBERTO ANTONIO VALERO GONZÁLEZ;Ningún trabajador tiene datos de cuadratura.
ESTADAL;OD05631402;ESCUELA HILARIO LACRUZ;Ningún trabajador tiene datos de cuadratura.
ESTADAL;OD10591403;ESCUELA JOSE AQUILES ROSALES;Ningún trabajador tiene datos de cuadratura.
ESTADAL;OD10741403;ESCUELA JOSE VICENTE CARRERO;Ningún trabajador tiene datos de cuadratura.
ESTADAL;OD11801406;ESCUELA JOSE VICENTE SALAS;Ningún trabajador tiene datos de cuadratura.
ESTADAL;OD03051412;ESCUELA JOSEFA MOLINA DE DUQUE;Ningún trabajador tiene datos de cuadratura.
ESTADAL;OD00211412;ESCUELA JUAN DE DIOS DAVILA;Ningún trabajador tiene datos de cuadratura.
ESTADAL;OD12971412;ESCUELA JUAN GERMAN ROSCIO (ANTES EL RODEO);Ningún trabajador tiene datos de cuadratura.
ESTADAL;OD08301409;ESCUELA LUIS EMIRO GARCÍA;Ningún trabajador tiene datos de cuadratura.
ESTADAL;OD12911412;ESCUELA MANUELA CAÑIZARES (ANTES LAS QUEBRADITAS);Ningún trabajador tiene datos de cuadratura.
ESTADAL;OD02901412;ESCUELA MARCOLINA DE LAMUS;Ningún trabajador tiene datos de cuadratura.
